title,citations,doi
Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International ,20,10.21966/dphz-as73
"Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir Joh",1,10.21966/j26w-by50
Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska Internati,19,10.21966/4j6t-gb64
Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of,18,10.21966/g9wr-vs33
"Bongo Zooplankton Data from the R/V TINRO, NOAA Bell M. Shimada and F/V North",7,10.21966/ymv6-8024
Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska Internationa,29,10.21966/7cmt-ca72
Trawl Data from the R/V TINRO during the 2022 International Year of the Salmo,10,10.21966/wevm-ww19
Trawl Data from the CCGS Sir John Franklin during the 2022 International Year,10,10.21966/gmrz-ad56
Juday Net Zooplankton Data from the 2019 Gulf of Alaska International Year of,17,10.21966/zw3v-md11
Trawl Data from the FV Northwest Explorer during the 2022 International Year ,8,10.21966/shnm-s480
Trawl Data from the NOAA Bell M. Shimada during the 2022 International Year o,9,10.21966/nt8w-je90
