title,citations,doi
Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,90,https://doi.org/10.21966/7cmt-ca72
Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,88,https://doi.org/10.21966/4j6t-gb64
Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,81,https://doi.org/10.21966/dphz-as73
Bongo Zooplankton Data from the R/V TINRO,57,https://doi.org/10.21966/ymv6-8024
Juday Net Zooplankton Data from the 2019 Gulf of Alaska International Year of the Salmon Expedition,44,https://doi.org/10.21966/zw3v-md11
Trawl Data from the CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,42,https://doi.org/10.21966/gmrz-ad56
Trawl Data from the FV Northwest Explorer during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,39,https://doi.org/10.21966/shnm-s480
Trawl Data from the NOAA Bell M. Shimada during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,38,https://doi.org/10.21966/nt8w-je90
Trawl Data from the R/V TINRO during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,36,https://doi.org/10.21966/wevm-ww19
Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,35,https://doi.org/10.21966/g9wr-vs33
