position.x,obj_dois,title_vector,position.y,relationType,relatedIdentifierType,subj_dois,subjtitle_vector
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,1,References,DOI,10.15468/dl.4jbnkt,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,2,References,DOI,10.15468/dl.nqbg5v,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,4,References,DOI,10.15468/dl.f5wjh6,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,5,References,DOI,10.15468/dl.3c2mmc,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,6,References,DOI,10.15468/dl.gx742r,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,7,References,DOI,10.15468/dl.hz87ut,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,8,References,DOI,10.15468/dl.cqpa99,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,9,References,DOI,10.15468/dl.6vdkbn,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,10,References,DOI,10.15468/dl.zycegr,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,15,References,DOI,10.15468/dl.459uag,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,17,References,DOI,10.15468/dl.f8s2hg,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,18,References,DOI,10.15468/dl.vaz2q7,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,19,References,DOI,10.15468/dl.pk3trq,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,21,References,DOI,10.15468/dl.rm8rn8,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,24,References,DOI,10.15468/dl.ucfhd2,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,26,References,DOI,10.15468/dl.6vtqy8,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,27,References,DOI,10.15468/dl.72zk7d,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,28,References,DOI,10.15468/dl.fdqx94,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,29,References,DOI,10.15468/dl.t4gc8j,Occurrence Download
1,10.21966/dphz-as73,Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,30,References,DOI,10.15468/dd.6fcd2f,More than half of data deficient species predicted to be threatened by extinction
2,10.21966/j26w-by50,"Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition",1,References,DOI,10.15468/dl.4jbnkt,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,1,References,DOI,10.15468/dl.4jbnkt,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,2,References,DOI,10.15468/dl.nqbg5v,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,3,References,DOI,10.15468/dl.v47pq2,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,5,References,DOI,10.15468/dl.3c2mmc,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,6,References,DOI,10.15468/dl.gx742r,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,7,References,DOI,10.15468/dl.hz87ut,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,8,References,DOI,10.15468/dl.cqpa99,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,9,References,DOI,10.15468/dl.6vdkbn,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,10,References,DOI,10.15468/dl.zycegr,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,15,References,DOI,10.15468/dl.459uag,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,17,References,DOI,10.15468/dl.f8s2hg,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,18,References,DOI,10.15468/dl.vaz2q7,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,19,References,DOI,10.15468/dl.pk3trq,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,21,References,DOI,10.15468/dl.rm8rn8,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,22,References,DOI,10.15468/dl.a5mbxn,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,24,References,DOI,10.15468/dl.ucfhd2,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,26,References,DOI,10.15468/dl.6vtqy8,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,28,References,DOI,10.15468/dl.fdqx94,Occurrence Download
3,10.21966/4j6t-gb64,Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,30,References,DOI,10.15468/dd.6fcd2f,More than half of data deficient species predicted to be threatened by extinction
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,1,References,DOI,10.15468/dl.4jbnkt,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,6,References,DOI,10.15468/dl.gx742r,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,8,References,DOI,10.15468/dl.cqpa99,Occurrence Download
4,10.21966/g9wr-vs33,Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,9,References,DOI,10.15468/dl.6vdkbn,Occurrence Download
