title,id,citation_count
Trawl Catch and Species Abundance from the 2019 Gulf of Alaska International Year of the Salmon Expedition,10.21966/dphz-as73,20
"Flow Cytometry data from the R/V TINRO, NOAA Bell M. Shimada and CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition",10.21966/j26w-by50,1
Trawl Catch and Species Abundance data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,10.21966/4j6t-gb64,19
Juday Net Zooplankton Data from the 2020 Gulf of Alaska International Year of the Salmon Expedition,10.21966/g9wr-vs33,18
"Bongo Zooplankton Data from the R/V TINRO, NOAA Bell M. Shimada and F/V Northwest Explorer during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition",10.21966/ymv6-8024,7
Zooplankton Bongo Net Data from the 2019 and 2020 Gulf of Alaska International Year of the Salmon Expeditions,10.21966/7cmt-ca72,29
Trawl Data from the R/V TINRO during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,10.21966/wevm-ww19,10
Trawl Data from the CCGS Sir John Franklin during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,10.21966/gmrz-ad56,10
Juday Net Zooplankton Data from the 2019 Gulf of Alaska International Year of the Salmon Expedition,10.21966/zw3v-md11,17
Trawl Data from the FV Northwest Explorer during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,10.21966/shnm-s480,8
Trawl Data from the NOAA Bell M. Shimada during the 2022 International Year of the Salmon Pan-Pacific Winter High Seas Expedition,10.21966/nt8w-je90,9
